Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2021-06-25,"Jun 25, 2021",133.46,133.89,132.81,133.11,133.11,70649973
2021-06-24,"Jun 24, 2021",134.45,134.64,132.93,133.41,133.41,68619000
2021-06-23,"Jun 23, 2021",133.77,134.32,133.23,133.70,133.7,60214200
2021-06-22,"Jun 22, 2021",132.13,134.08,131.62,133.98,133.98,74783600
2021-06-21,"Jun 21, 2021",130.30,132.41,129.21,132.30,132.3,79663300
2021-06-18,"Jun 18, 2021",130.71,131.51,130.24,130.46,130.46,108787300
2021-06-17,"Jun 17, 2021",129.80,132.55,129.65,131.79,131.79,96721700
2021-06-16,"Jun 16, 2021",130.37,130.89,128.46,130.15,130.15,91815000
2021-06-15,"Jun 15, 2021",129.94,130.60,129.39,129.64,129.64,62746300
2021-06-14,"Jun 14, 2021",127.82,130.54,127.07,130.48,130.48,96906500
2021-06-11,"Jun 11, 2021",126.53,127.44,126.10,127.35,127.35,53522400
2021-06-10,"Jun 10, 2021",127.02,128.19,125.94,126.11,126.11,71186400
2021-06-09,"Jun 09, 2021",127.21,127.75,126.52,127.13,127.13,56877900
2021-06-08,"Jun 08, 2021",126.60,128.46,126.21,126.74,126.74,74403800
2021-06-07,"Jun 07, 2021",126.17,126.32,124.83,125.90,125.9,71057600
2021-06-04,"Jun 04, 2021",124.07,126.16,123.85,125.89,125.89,75169300
2021-06-03,"Jun 03, 2021",124.68,124.85,123.13,123.54,123.54,76229200
2021-06-02,"Jun 02, 2021",124.28,125.24,124.05,125.06,125.06,59278900
2021-06-01,"Jun 01, 2021",125.08,125.35,123.94,124.28,124.28,67637100
2021-05-28,"May 28, 2021",125.57,125.80,124.55,124.61,124.61,71311100
2021-05-27,"May 27, 2021",126.44,127.64,125.08,125.28,125.28,94625600
2021-05-26,"May 26, 2021",126.96,127.39,126.42,126.85,126.85,56575900
2021-05-25,"May 25, 2021",127.82,128.32,126.32,126.90,126.9,72009500
2021-05-24,"May 24, 2021",126.01,127.94,125.94,127.10,127.1,63092900
2021-05-21,"May 21, 2021",127.82,128.00,125.21,125.43,125.43,79295400
2021-05-20,"May 20, 2021",125.23,127.72,125.10,127.31,127.31,76857100
2021-05-19,"May 19, 2021",123.16,124.92,122.86,124.69,124.69,92612000
2021-05-18,"May 18, 2021",126.56,126.99,124.78,124.85,124.85,63342900
2021-05-17,"May 17, 2021",126.82,126.93,125.17,126.27,126.27,74244600
2021-05-14,"May 14, 2021",126.25,127.89,125.85,127.45,127.45,81918000
2021-05-13,"May 13, 2021",124.58,126.15,124.26,124.97,124.97,105861300
2021-05-12,"May 12, 2021",123.40,124.64,122.25,122.77,122.77,112172300
2021-05-11,"May 11, 2021",123.50,126.27,122.77,125.91,125.91,126142800
2021-05-10,"May 10, 2021",129.41,129.54,126.81,126.85,126.85,88071200
2021-05-07,"May 07, 2021",130.85,131.26,129.48,130.21,130.21,78973300
2021-05-06,"May 06, 2021",127.89,129.75,127.13,129.74,129.52,78128300
2021-05-05,"May 05, 2021",129.20,130.45,127.97,128.10,127.88,84000900
2021-05-04,"May 04, 2021",131.19,131.49,126.70,127.85,127.63,137564700
2021-05-03,"May 03, 2021",132.04,134.07,131.83,132.54,132.32,75135100
2021-04-30,"Apr 30, 2021",131.78,133.56,131.07,131.46,131.24,109839500
2021-04-29,"Apr 29, 2021",136.47,137.07,132.45,133.48,133.25,151101000
2021-04-28,"Apr 28, 2021",134.31,135.02,133.08,133.58,133.35,107760100
2021-04-27,"Apr 27, 2021",135.01,135.41,134.11,134.39,134.16,66015800
2021-04-26,"Apr 26, 2021",134.83,135.06,133.56,134.72,134.49,66905100
2021-04-23,"Apr 23, 2021",132.16,135.12,132.16,134.32,134.09,78657500
